,up_mean,down_mean,mean_diff,up_sd,down_sd,sd_diff
AU01_r,1.145625,1.0672727272727272,0.07835227272727274,0.7251795070603674,0.5798290537751033,0.14535045328526408
AU02_r,0.9960937500000001,0.8900000000000001,0.10609374999999999,0.9309162872828961,0.8552471099323393,0.07566917735055678
AU04_r,0.8553125,0.8495454545454545,0.0057670454545455385,0.5152067507629786,0.7436171395391921,-0.22841038877621345
AU05_r,1.08734375,1.114545454545455,-0.027201704545454897,0.6902869019070581,0.5275796240760818,0.16270727783097627
AU06_r,0.23890625,0.06545454545454545,0.17345170454545455,0.40589355547115535,0.14039832018827117,0.2654952352828842
AU07_r,0.39437500000000003,0.2881818181818182,0.10619318181818183,0.501365991210869,0.3089095469957318,0.1924564442151372
AU09_r,0.59421875,0.2204545454545455,0.37376420454545456,0.8013457028747787,0.27175754727728263,0.5295881555974961
AU10_r,0.3015625,0.15318181818181817,0.14838068181818184,0.4525876877240089,0.20933878587764684,0.24324890184636208
AU12_r,0.1365625,0.07181818181818181,0.0647443181818182,0.24339672201102933,0.15407593562718983,0.0893207863838395
AU14_r,0.6371875,0.3181818181818182,0.31900568181818184,0.7212169361902278,0.5684032468962956,0.15281368929393213
AU15_r,0.50140625,0.7795454545454544,-0.2781392045454544,0.6403938946287494,0.6561901384777874,-0.015796243849037994
AU17_r,0.83078125,0.4477272727272728,0.3830539772727272,0.8408448221169899,0.5777866785306199,0.2630581435863699
AU20_r,0.8065625000000001,1.0172727272727273,-0.21071022727272726,0.5293938395009781,0.4153160794954198,0.11407776000555825
AU23_r,0.76015625,0.4745454545454546,0.2856107954545454,0.6018423887636184,0.5112517530320605,0.0905906357315579
AU25_r,0.4328125,0.31636363636363635,0.11644886363636364,0.6146065169154331,0.503686840110433,0.11091967680500014
AU26_r,0.45859375,0.35000000000000003,0.10859374999999999,0.5755821544039166,0.4979194809643518,0.07766267343956479
AU45_r,0.64234375,0.9645454545454547,-0.3222017045454547,0.7883813882212408,0.9231711767841441,-0.13478978856290325
